

-- Schedule for TransitLine with ObjectID 355 --
Route type: Bus
start_time  end_time  weekdays  trip_id  route_id  service_id
05:42:47  05:44:13  ----F--  israelpublictransportation02052018BSOnly:31936787_210518  israelpublictransportation02052018BSOnly:17513  israelpublictransportation02052018BSOnly:59181940
05:42:47  05:44:13  MTWTh--Su  israelpublictransportation02052018BSOnly:31936332_010518  israelpublictransportation02052018BSOnly:17513  israelpublictransportation02052018BSOnly:59181935
05:42:47  05:44:13  ----F--  israelpublictransportation02052018BSOnly:31936787_010518  israelpublictransportation02052018BSOnly:17513  israelpublictransportation02052018BSOnly:59181936
05:42:47  05:44:13  MTWTh--Su  israelpublictransportation02052018BSOnly:31936332_210518  israelpublictransportation02052018BSOnly:17513  israelpublictransportation02052018BSOnly:59181939
05:51:11  05:52:37  ----F--  israelpublictransportation02052018BSOnly:28536972_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182075
05:51:11  05:52:37  MTWTh--Su  israelpublictransportation02052018BSOnly:28536882_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
05:51:11  05:52:37  MTWTh--Su  israelpublictransportation02052018BSOnly:28536882_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
05:51:11  05:52:37  ----F--  israelpublictransportation02052018BSOnly:28536972_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182089
06:04:22  06:05:48  MTWTh--Su  israelpublictransportation02052018BSOnly:31940546_210518  israelpublictransportation02052018BSOnly:17545  israelpublictransportation02052018BSOnly:59182209
06:04:22  06:05:48  MTWTh--Su  israelpublictransportation02052018BSOnly:31940546_010518  israelpublictransportation02052018BSOnly:17545  israelpublictransportation02052018BSOnly:59182205
06:12:47  06:14:13  ----F--  israelpublictransportation02052018BSOnly:31936788_210518  israelpublictransportation02052018BSOnly:17513  israelpublictransportation02052018BSOnly:59181940
06:12:47  06:14:13  MTWTh--Su  israelpublictransportation02052018BSOnly:31936333_210518  israelpublictransportation02052018BSOnly:17513  israelpublictransportation02052018BSOnly:59181939
06:12:47  06:14:13  MTWTh--Su  israelpublictransportation02052018BSOnly:31936333_010518  israelpublictransportation02052018BSOnly:17513  israelpublictransportation02052018BSOnly:59181935
06:12:47  06:14:13  ----F--  israelpublictransportation02052018BSOnly:31936788_010518  israelpublictransportation02052018BSOnly:17513  israelpublictransportation02052018BSOnly:59181936
06:21:11  06:22:37  MTWTh--Su  israelpublictransportation02052018BSOnly:28536883_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
