

-- Schedule for TransitLine with ObjectID 682 --
Route type: Bus
start_time  end_time  weekdays  trip_id  route_id  service_id
05:46:33  05:48:51  ----F--  israelpublictransportation02052018BSOnly:28536972_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182075
05:46:33  05:48:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28536882_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
05:46:33  05:48:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28536882_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
05:46:33  05:48:51  ----F--  israelpublictransportation02052018BSOnly:28536972_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182089
06:16:33  06:18:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28536883_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
06:16:33  06:18:51  ----F--  israelpublictransportation02052018BSOnly:28536973_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182089
06:16:33  06:18:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28536883_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
06:16:33  06:18:51  ----F--  israelpublictransportation02052018BSOnly:28536973_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182075
06:36:33  06:38:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28536884_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
06:36:33  06:38:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28536884_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
06:46:33  06:48:51  ----F--  israelpublictransportation02052018BSOnly:28536974_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182075
06:46:33  06:48:51  ----F--  israelpublictransportation02052018BSOnly:28536974_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182089
06:56:33  06:58:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537032_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
06:56:33  06:58:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537032_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
07:11:33  07:13:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28536885_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
07:11:33  07:13:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28536885_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
07:16:33  07:18:51  ----F--  israelpublictransportation02052018BSOnly:28536975_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182075
07:16:33  07:18:51  ----F--  israelpublictransportation02052018BSOnly:28536975_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182089
07:26:33  07:28:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537002_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
07:26:33  07:28:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537002_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
07:31:33  07:33:51  ----F--  israelpublictransportation02052018BSOnly:28536976_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182075
07:31:33  07:33:51  ----F--  israelpublictransportation02052018BSOnly:28536976_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182089
07:36:33  07:38:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537007_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
07:36:33  07:38:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537007_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
07:46:33  07:48:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537012_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
07:46:33  07:48:51  ----F--  israelpublictransportation02052018BSOnly:28536977_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182089
07:46:33  07:48:51  ----F--  israelpublictransportation02052018BSOnly:28536977_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182075
07:46:33  07:48:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537012_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
07:56:33  07:58:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537017_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
07:56:33  07:58:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537017_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
08:01:33  08:03:51  ----F--  israelpublictransportation02052018BSOnly:28536978_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182075
08:01:33  08:03:51  ----F--  israelpublictransportation02052018BSOnly:28536978_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182089
08:06:33  08:08:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537022_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
08:06:33  08:08:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537022_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
08:16:33  08:18:51  ----F--  israelpublictransportation02052018BSOnly:28536979_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182075
08:16:33  08:18:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537027_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
